, ,Number of genomes
680,Cluster 680,1
681,Cluster 681,1
682,Cluster 682,1
683,Cluster 683,1
684,Cluster 684,1
685,Cluster 685,1
686,Cluster 686,1
687,Cluster 687,1
688,Cluster 688,1
689,Cluster 689,1
690,Cluster 690,1
691,Cluster 691,1
692,Cluster 692,1
693,Cluster 693,1
694,Cluster 694,1
695,Cluster 695,1
696,Cluster 696,1
697,Cluster 697,1
698,Cluster 698,1
699,Cluster 699,1
700,Cluster 700,1
701,Cluster 701,1
702,Cluster 702,1
703,Cluster 703,1
704,Cluster 704,1
705,Cluster 705,1
706,Cluster 706,1
707,Cluster 707,1
708,Cluster 708,1
709,Cluster 709,1
710,Cluster 710,1
711,Cluster 711,1
712,Cluster 712,1
713,Cluster 713,1
714,Cluster 714,1
715,Cluster 715,1
716,Cluster 716,1
717,Cluster 717,1
718,Cluster 718,1
719,Cluster 719,1
720,Cluster 720,1
721,Cluster 721,1
722,Cluster 722,1
723,Cluster 723,1
724,Cluster 724,1
725,Cluster 725,1
726,Cluster 726,1
727,Cluster 727,1
728,Cluster 728,1
729,Cluster 729,1
730,Cluster 730,1
731,Cluster 731,1
732,Cluster 732,1
733,Cluster 733,1
734,Cluster 734,1
735,Cluster 735,1
736,Cluster 736,1
737,Cluster 737,1
738,Cluster 738,1
739,Cluster 739,1
740,Cluster 740,1
741,Cluster 741,1
742,Cluster 742,1
743,Cluster 743,1
744,Cluster 744,1
745,Cluster 745,1
746,Cluster 746,1
747,Cluster 747,1
748,Cluster 748,1
749,Cluster 749,1
750,Cluster 750,1
751,Cluster 751,1
752,Cluster 752,1
753,Cluster 753,1
754,Cluster 754,1
755,Cluster 755,1
756,Cluster 756,1
757,Cluster 757,1
758,Cluster 758,1
759,Cluster 759,1
760,Cluster 760,1
761,Cluster 761,1
762,Cluster 762,1
763,Cluster 763,1
764,Cluster 764,1
765,Cluster 765,1
766,Cluster 766,1
767,Cluster 767,1
768,Cluster 768,1
769,Cluster 769,1
770,Cluster 770,1
771,Cluster 771,1
772,Cluster 772,1
773,Cluster 773,1
774,Cluster 774,1
775,Cluster 775,1
776,Cluster 776,1
777,Cluster 777,1
778,Cluster 778,1
779,Cluster 779,1
780,Cluster 780,1
781,Cluster 781,1
782,Cluster 782,1
783,Cluster 783,1
784,Cluster 784,1
785,Cluster 785,1
786,Cluster 786,1
787,Cluster 787,1
788,Cluster 788,1
789,Cluster 789,1
790,Cluster 790,1
791,Cluster 791,1
792,Cluster 792,1
793,Cluster 793,1
794,Cluster 794,1
795,Cluster 795,1
796,Cluster 796,1
797,Cluster 797,1
798,Cluster 798,1
799,Cluster 799,1
800,Cluster 800,1
801,Cluster 801,1
802,Cluster 802,1
803,Cluster 803,1
804,Cluster 804,1
805,Cluster 805,1
806,Cluster 806,1
807,Cluster 807,1
808,Cluster 808,1
809,Cluster 809,1
810,Cluster 810,1
811,Cluster 811,1
812,Cluster 812,1
813,Cluster 813,1
814,Cluster 814,1
815,Cluster 815,1
816,Cluster 816,1
817,Cluster 817,2
818,Cluster 818,1
819,Cluster 819,1
820,Cluster 820,1
821,Cluster 821,1
822,Cluster 822,1
823,Cluster 823,1
824,Cluster 824,1
825,Cluster 825,1
826,Cluster 826,1
